type,canonical,alias,language,category,confidence,notes
brand,Beigel Beigel,Beigel Beigel,brand,beauty,0.86,open_facts:en.openfoodfacts.org.products.csv.gz; count=2
brand,Belgian Cosmetic Brands,Belgian Cosmetic Brands,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Belo,Belo,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Ben&Anna,Ben&Anna,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=10
brand,Bepanthen Soleil,Bepanthen Soleil,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Better life,Better life,brand,beauty,0.91,open_facts:en.openbeautyfacts.org.products.csv.gz; count=102
brand,Bicare Gifrer Plus,Bicare Gifrer Plus,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Big moustache,Big moustache,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bigallet,Bigallet,brand,beauty,0.86,open_facts:en.openfoodfacts.org.products.csv.gz; count=2
brand,Bii enjoy,Bii enjoy,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bio Beauté,Bio Beauté,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,bio Carrefour,bio Carrefour,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bio Claire,Bio Claire,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,bio coiff,bio coiff,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bio Labell,Bio Labell,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,bio naïa,bio naïa,brand,beauty,0.91,open_facts:en.openbeautyfacts.org.products.csv.gz; count=34
brand,Bio naïa Marque repère,Bio naïa Marque repère,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Biocura,Biocura,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=12
brand,BIODERMA,BIODERMA,brand,beauty,0.91,open_facts:en.openbeautyfacts.org.products.csv.gz; count=192
brand,Biog,Biog,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Biogance,Biogance,brand,beauty,0.86,open_facts:en.openproductsfacts.org.products.csv.gz; count=2
brand,biolage,biolage,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Biolane,Biolane,brand,beauty,0.91,open_facts:en.openbeautyfacts.org.products.csv.gz; count=72
brand,BioMed,BioMed,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bionaia,Bionaia,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=8
brand,Bionatural by Phyt's,Bionatural by Phyt's,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Biopha,Biopha,brand,beauty,0.90,open_facts:en.openbeautyfacts.org.products.csv.gz; count=20
brand,Biopha Déodorant,Biopha Déodorant,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Biopha nature,Biopha nature,brand,beauty,0.89,open_facts:en.openbeautyfacts.org.products.csv.gz; count=14
brand,Biopharma,Biopharma,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Biorene,Biorene,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Biosecure,Biosecure,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bioseptyl,Bioseptyl,brand,beauty,0.90,open_facts:en.openbeautyfacts.org.products.csv.gz; count=18
brand,Biotherm,Biotherm,brand,beauty,0.89,open_facts:en.openbeautyfacts.org.products.csv.gz; count=16
brand,Black,Black,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Black Up,Black Up,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Boar s head,Boar s head,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Body Natur,Body Natur,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Body Natur Sensitive,Body Natur Sensitive,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bonpreu,Bonpreu,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bonté,Bonté,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Botanicals,Botanicals,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=6
brand,Bourjois,Bourjois,brand,beauty,0.91,open_facts:en.openbeautyfacts.org.products.csv.gz; count=60
brand,Boutique Nature,Boutique Nature,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bridélice,Bridélice,brand,beauty,0.86,open_facts:en.openfoodfacts.org.products.csv.gz; count=2
brand,Briochin,Briochin,brand,beauty,0.91,open_facts:en.openbeautyfacts.org.products.csv.gz; count=32
brand,Briogeo,Briogeo,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Brush Baby,Brush Baby,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bulldog skincare,Bulldog skincare,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bumble and bumble bbcurl,Bumble and bumble bbcurl,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,By U Homme,By U Homme,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=8
brand,Bébé Bio,Bébé Bio,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Bébé Cadum,Bébé Cadum,brand,beauty,0.90,open_facts:en.openbeautyfacts.org.products.csv.gz; count=22
brand,Bélice,Bélice,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,bío : renew,bío : renew,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,c'fresh,c'fresh,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,California Naturals,California Naturals,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,caliquo,caliquo,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Callibelle,Callibelle,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Candidat,Candidat,brand,beauty,0.86,open_facts:en.openproductsfacts.org.products.csv.gz; count=2
brand,Cap Cosmetics,Cap Cosmetics,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Care & Protect,Care & Protect,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Carrefour Kids,Carrefour Kids,brand,beauty,0.89,open_facts:en.openbeautyfacts.org.products.csv.gz; count=14
brand,Carrefour Men,Carrefour Men,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=8
brand,Carrefour Sort Green,Carrefour Sort Green,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Carreton,Carreton,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Carré Homme,Carré Homme,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=12
brand,Carré homme Marque repère,Carré homme Marque repère,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Cars,Cars,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Cartier Paris,Cartier Paris,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,CATTIER PARIS cosmétique & nature,CATTIER PARIS cosmétique & nature,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,CD,CD,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Ce'BIO,Ce'BIO,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=10
brand,Ce'bio Laboratoire Gravier,Ce'bio Laboratoire Gravier,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Celenes by Sweden,Celenes by Sweden,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Celtique,Celtique,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Centifolia,Centifolia,brand,beauty,0.91,open_facts:en.openbeautyfacts.org.products.csv.gz; count=50
brand,Centifolia kids,Centifolia kids,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,ceramol 311,ceramol 311,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Cetaphil,Cetaphil,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=6
brand,Chantal,Chantal,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Chapo,Chapo,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,CHARCOAL TOOTHPASTE,CHARCOAL TOOTHPASTE,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Charlotte Family,Charlotte Family,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Chien,Chien,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Church & Dwight,Church & Dwight,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Ciel Azur,Ciel Azur,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,CIEN LIDL,CIEN LIDL,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=6
brand,Cien Men,Cien Men,brand,beauty,0.89,open_facts:en.openbeautyfacts.org.products.csv.gz; count=16
brand,Cien Nature,Cien Nature,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,cigalbio,cigalbio,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Cigale Bio,Cigale Bio,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Cinq cinq,Cinq cinq,brand,beauty,0.86,open_facts:en.openproductsfacts.org.products.csv.gz; count=2
brand,Clair de lorraine,Clair de lorraine,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,clear,clear,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Clemence Et Vivien,Clemence Et Vivien,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=6
brand,Cleopatra,Cleopatra,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Clin d'oeil,Clin d'oeil,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Close Up,Close Up,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Clyde's,Clyde's,brand,beauty,0.86,open_facts:en.openfoodfacts.org.products.csv.gz; count=2
brand,Clémence & Vivien,Clémence & Vivien,brand,beauty,0.88,open_facts:en.openbeautyfacts.org.products.csv.gz; count=10
brand,Colab,Colab,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Collection Parfum,Collection Parfum,brand,beauty,0.88,open_facts:en.openproductsfacts.org.products.csv.gz; count=10
